time,phase,pitch_pos,yaw_pos,Hip,Knee,pitch_vel,yaw_vel,Hip_vel,Knee_vel
0.000000000000000000e+00,STAGING,-0.000000000000000000e+00,-0.000000000000000000e+00,1.430197400205253322e+00,-2.108440676400111347e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.324236748174403511e-01,-5.828034837844179306e-01
7.692575454711914062e-03,STAGING,-5.033374458000006157e-04,-1.617870361503292997e-04,1.436652871478686366e+00,-2.115295653045975222e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.397914987993206015e+00,-1.019333042352720708e+00
1.538515090942382812e-02,STAGING,-1.557949236999978115e-03,-4.913532208998816486e-04,1.444914028389031158e+00,-2.124347675173316574e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.361510054184261076e-01,-1.206056535427126430e+00
2.307796478271484375e-02,STAGING,-3.020024674800003694e-03,-5.512743454012536404e-04,1.448509295860638035e+00,-2.133719339049305219e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.397209657290114149e-01,-1.170730879103175193e+00
3.077077865600585938e-02,STAGING,-3.679157044299996571e-03,-5.932191325506153134e-04,1.452056626432623565e+00,-2.140981779341951441e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.437210096080573818e-01,-9.991458963799187964e-01
3.846359252929687500e-02,STAGING,-4.781705735100005850e-03,-9.407616546504016242e-04,1.460413657142211274e+00,-2.147828704086707230e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.840935226452768303e-01,-8.174681364976965625e-01
4.615640640258789062e-02,STAGING,-5.980128225099967665e-03,-1.300288401649751791e-03,1.464951652430787288e+00,-2.154028667940087960e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.700003271002367478e-01,-6.950880873802860460e-01
5.384898185729980469e-02,STAGING,-6.435528771299992012e-03,-1.456083325351187341e-03,1.467907730031856151e+00,-2.159413517246389969e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.106454597887592817e-01,-7.203210133586499531e-01
6.156730651855468750e-02,STAGING,-7.106645365699992833e-03,-1.569933461899708504e-03,1.474139526982641613e+00,-2.164910344154151733e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.459716778732528253e-01,-8.136834620965307519e-01
6.926012039184570312e-02,STAGING,-8.245146731199970436e-03,-1.845570634600335325e-03,1.477223498733872376e+00,-2.171150005752531253e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.438356972084173790e-01,-8.300854655343814503e-01
7.695317268371582031e-02,STAGING,-8.400941654899962696e-03,-1.893507534200367104e-03,1.478198246901760493e+00,-2.177326001156100865e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.573840747712581867e-01,-7.102286575200909002e-01
8.467841148376464844e-02,STAGING,-8.688563052499986838e-03,-2.127199919749855894e-03,1.481473872624719856e+00,-2.181072943974166289e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.753194289577797660e-01,-4.036481223645019822e-01
9.237098693847656250e-02,STAGING,-8.928247550499979202e-03,-2.462758216950078349e-03,1.483615116558981706e+00,-2.183190219458617243e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.665453235669380749e-01,-1.979991740889222585e-01
1.000638008117675781e-01,STAGING,-9.024121349699987249e-03,-2.612561028200843793e-03,1.483327495161253173e+00,-2.184780189047232923e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.017865373335177986e-02,-2.951462504145904164e-01
1.077568531036376953e-01,STAGING,-8.916263325599971257e-03,-2.816292851500534766e-03,1.483135747562767337e+00,-2.187145013677385119e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.614986892172178556e-01,-3.418272875300167324e-01
1.154494285583496094e-01,STAGING,-9.299758522400003447e-03,-2.960103550300630104e-03,1.483423368960495869e+00,-2.189070541563350236e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.059708832326437811e-01,-1.778130111970696037e-01
1.231508255004882812e-01,STAGING,-9.383648096700003549e-03,-3.121890586450959404e-03,1.481569746423962775e+00,-2.189645784358807301e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.264296189624209310e-01,-1.127532918271856831e-02
1.308434009552001953e-01,STAGING,-9.084042474199971462e-03,-3.355582972000448194e-03,1.479844018037591358e+00,-2.189589795558077867e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.286805915145769197e-01,7.830175977687631184e-02
1.385359764099121094e-01,STAGING,-9.203884723199995399e-03,-3.631220144701075014e-03,1.480643028782453241e+00,-2.189797459705265847e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.522545924448729021e-02,2.026591972261622410e-02
1.462597846984863281e-01,STAGING,-8.868326425999994989e-03,-3.775030843501170352e-03,1.479029090744027108e+00,-2.189917301954319662e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.069028680263704789e-01,-2.010682006690552373e-02
1.540029048919677734e-01,STAGING,-8.808405301500010776e-03,-3.828959855550095881e-03,1.475002391175827432e+00,-2.189685669357320563e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.213833240096950816e-01,-2.263017381471762665e-02
1.616957187652587891e-01,STAGING,-8.856342201099987044e-03,-3.996739004151095287e-03,1.473851905584913080e+00,-2.189461901407915967e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.539286265108634755e-01,2.602862248231711285e-03
1.693885326385498047e-01,STAGING,-8.520783903899986633e-03,-4.224439277249913971e-03,1.472797293793241646e+00,-2.189278205710538661e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.381144014448366764e-01,2.278921787954131181e-02
1.770813465118408203e-01,STAGING,-8.364988980199994373e-03,-4.398210538299807126e-03,1.470080900690279968e+00,-2.189230268810916868e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.415691123945194585e-01,7.073187847236375725e-02
1.847739219665527344e-01,STAGING,-8.221178281400010057e-03,-4.625910811400402167e-03,1.468834541300122920e+00,-2.189334194511268095e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.064422042105406030e-02,-3.776984718573989097e-02
1.924667358398437500e-01,STAGING,-8.580705028399970846e-03,-4.847618972050327102e-03,1.467620108634127618e+00,-2.189310226061457421e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.397051194003767816e-01,2.602917107659683850e-03
2.001595497131347656e-01,STAGING,-8.293083630800002215e-03,-5.015398120649550151e-03,1.466198011820944336e+00,-2.189182331911295520e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.135401852215969370e-01,7.073191358239765136e-02
2.078521251678466797e-01,STAGING,-8.484831229199962799e-03,-5.183177269250549557e-03,1.464695957757220723e+00,-2.189565827108267193e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.993322552628183086e-01,-1.626730496311857010e-01
2.155449390411376953e-01,STAGING,-8.424910104699978586e-03,-5.374924867650676674e-03,1.463721303216089842e+00,-2.189797459705265847e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.059867295612784005e-01,-4.281644935126238671e-02
2.232375144958496094e-01,EXERTION,-8.436894329599986531e-03,-5.578656690950367647e-03,1.463849103739494506e+00,-2.189773491255455173e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.271783918061770838e-02,-1.379857101729760512e-02
2.309303283691406250e-01,EXERTION,-8.448878554499994475e-03,-5.716475277299792879e-03,1.462810502123282674e+00,-2.189549910559564605e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.316739715577857961e-02,8.839491144287044133e-02
2.386229038238525391e-01,EXERTION,-8.305067855700010160e-03,-5.800364851600292582e-03,1.463417671642901707e+00,-2.170646668306506211e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.204669514777103156e-01,4.837241758969779148e+00
2.463159561157226562e-01,EXERTION,-8.197209831599994168e-03,-6.093978361651153364e-03,1.463865113914954108e+00,-2.114248905901898290e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.674614269219962592e-01,8.268922688083492289e+00
2.540087699890136719e-01,EXERTION,-6.064017799399967767e-03,-6.291718072500174230e-03,1.456722515871361479e+00,-2.055118740218868645e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.445841401417840233e+00,7.305021741762927512e+00
2.617330551147460938e-01,EXERTION,-6.950850441999611995e-04,-3.601259582451277197e-03,1.430117536581470006e+00,-2.000111147903282038e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.294643992154854928e+00,5.690117100696837404e+00
2.694256305694580078e-01,EXERTION,6.327670747200031531e-03,1.797633735023396184e-05,1.392550923826974207e+00,-1.959276961326935185e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.690029091545189210e+00,6.734762885838327051e+00
2.771184444427490234e-01,EXERTION,1.516004449850000269e-02,4.488092225049200579e-03,1.342313053023719283e+00,-1.883400901127325611e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.875000681083303533e+00,9.621412126960244393e+00
2.848112583160400391e-01,EXERTION,2.321344363130001254e-02,7.699864498249553435e-03,1.315420452336099277e+00,-1.815578052810601584e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.120534551180637273e+00,1.128047901130960007e+01
2.925043106079101562e-01,EXERTION,3.499393670800002298e-02,1.102548690800020381e-02,1.279020428974734225e+00,-1.719472620970750265e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.387229298466968963e+00,1.346565636506033670e+01
3.002004623413085938e-01,FLIGHT,4.598347094130000867e-02,1.482448620129872552e-02,1.220633285235837029e+00,-1.598304055276486890e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.612001086561587471e+00,1.598264619686407784e+01
3.078932762145996094e-01,FLIGHT,5.696102094970001417e-02,2.173938396859931288e-02,1.149383042222938078e+00,-1.469202026321634769e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.568323508657627485e+00,1.823467979629151614e+01
3.155860900878906250e-01,FLIGHT,6.995192074130002213e-02,2.559231227395031283e-02,1.079922474671491273e+00,-1.332797578448866149e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.649845021770532938e+00,1.718499052500001412e+01
3.233067989349365234e-01,FLIGHT,8.276305715940002194e-02,3.038600223394993805e-02,1.020304981717896631e+00,-1.223813037159553696e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.033186511006253916e+00,1.082122104251463846e+01
3.309993743896484375e-01,FLIGHT,9.357282801919999948e-02,3.405317505334970463e-02,9.864774471338720874e-01,-1.162078362348264893e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.704183852617135120e+00,7.052676659057343755e+00
3.386919498443603516e-01,FLIGHT,1.079778663490000012e-01,4.013516919009951778e-02,9.694119108686443109e-01,-1.122610283784371443e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.150608897353296189e+00,3.522580526006785728e+00
3.464531898498535156e-01,FLIGHT,1.167862716505000120e-01,4.468318253965009035e-02,9.575076432138281968e-01,-1.112136071217089794e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.291138874307673490e+00,-6.428762485476252619e-02
3.541543483734130859e-01,FLIGHT,1.244441913616000095e-01,4.859603196949890958e-02,9.444847230655025738e-01,-1.121611567166672652e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.304528196298486264e+00,-1.952975693322401618e+00
3.618469238281250000e-01,FLIGHT,1.305920987353000051e-01,5.150819862019950790e-02,9.402982962497361541e-01,-1.143342992870638453e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.018474678715192761e-01,-3.306726284616927636e+00
3.695394992828369141e-01,FLIGHT,1.454645218362000114e-01,5.788979837944907558e-02,9.430306995281574345e-01,-1.173455324107245179e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.099946614946077483e-01,-4.393002271023399352e+00
3.772671222686767578e-01,FLIGHT,1.554713496277000118e-01,6.302503874909959336e-02,9.485913798842429134e-01,-1.209016545351992322e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.040154454805844786e-01,-4.959485721595783936e+00
3.849599361419677734e-01,FLIGHT,1.639921335316000262e-01,6.785468138379968650e-02,9.505567927687212926e-01,-1.249778920205664168e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.546889577017094474e-05,-5.143686254447341177e+00
3.926525115966796875e-01,FLIGHT,1.725009332106000048e-01,7.253452120724901420e-02,9.487671173072690367e-01,-1.288495924924317082e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.172604938158023025e-01,-5.356901719315851018e+00
4.003450870513916016e-01,FLIGHT,1.788166197329000284e-01,7.731622694234907556e-02,9.421358149840527441e-01,-1.331814872006626960e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.285576881662837012e-01,-5.349332183260004925e+00
4.080376625061035156e-01,FLIGHT,1.872055771629000109e-01,8.145078453284959608e-02,9.337628677257626686e-01,-1.370196412054687007e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.274249115807532196e+00,-5.390968376637440329e+00
4.157302379608154297e-01,FLIGHT,1.970685942556000270e-01,8.584300295869873310e-02,9.242234247010987502e-01,-1.412205052671758887e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.375180819720987602e+00,-5.306436897253450802e+00
4.234232902526855469e-01,FLIGHT,2.056732677338000137e-01,9.098423544079992098e-02,9.153071613715134669e-01,-1.455492073029906797e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.310802738821042368e-01,-5.314005684295239895e+00
4.311161041259765625e-01,FLIGHT,2.128757868987000146e-01,9.519669049315027110e-02,9.088037531984590744e-01,-1.496446195482064478e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.207151579521065221e-01,-5.062938419570190085e+00
4.388086795806884766e-01,FLIGHT,2.198625900154000112e-01,9.951101145714957852e-02,9.009900385601665729e-01,-1.533397586815832936e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.309575333892025739e+00,-4.819435447802589145e+00
4.465014934539794922e-01,FLIGHT,2.268853458068000040e-01,1.040590248067001511e-01,8.898686778479956150e-01,-1.569613914479820460e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.460972328001666432e+00,-4.509069489231777972e+00
4.541945457458496094e-01,FLIGHT,2.331171427547999997e-01,1.080198111361490021e-01,8.816554578372722828e-01,-1.600125657462101225e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.664056493257842106e-01,-4.129312995923810625e+00
4.618873596191406250e-01,FLIGHT,2.401758512209000163e-01,1.127236194093992339e-01,8.747525442917868377e-01,-1.632011747611457952e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.011825112703029106e+00,-3.937544799551549346e+00
4.695804119110107422e-01,FLIGHT,2.470308278637000088e-01,1.183262445501487292e-01,8.662677130587944641e-01,-1.661069560683150481e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.184633193524476269e-01,-3.535078200047931496e+00
4.772734642028808594e-01,FLIGHT,2.528911138398000080e-01,1.227304472008992065e-01,8.609307070253565675e-01,-1.687482792374556340e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.853876290930138948e-01,-3.410177484563220229e+00
4.849660396575927734e-01,FLIGHT,2.589191789645000075e-01,1.279555692572991177e-01,8.557055849666211911e-01,-1.711411169933242382e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.090287838148205957e-01,-2.997619980435777709e+00
4.926586151123046875e-01,FLIGHT,2.648274018401999830e-01,1.320481820606502765e-01,8.516948955738807836e-01,-1.732343678519103092e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.195088682254494883e-01,-2.535856934128568607e+00
5.003511905670166016e-01,FLIGHT,2.700884765713000291e-01,1.360209526149986914e-01,8.460702681427144656e-01,-1.750040446380517700e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.074372466251560354e-01,-2.142222333873170292e+00
5.080440044403076172e-01,FLIGHT,2.753735197522000355e-01,1.406528555388497637e-01,8.407652824601956620e-01,-1.765084580960537330e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.080966585809582936e-01,-1.622423244166087741e+00
5.157365798950195312e-01,FLIGHT,2.802271308367000335e-01,1.448473342538498798e-01,8.361633400965386986e-01,-1.775950340625898738e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.478099469158897339e-01,-1.382710189898049169e+00
5.234296321868896484e-01,FLIGHT,2.859555903389000009e-01,1.503121408082499499e-01,8.320726934532579611e-01,-1.785457763299643563e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.188493626428902439e-01,-1.250237597688565350e+00
5.311224460601806641e-01,FLIGHT,2.901021321543000298e-01,1.544047536115993324e-01,8.306345864646151878e-01,-1.794645731478254902e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.892654010122170605e-01,-1.073606600892854424e+00
5.388150215148925781e-01,FLIGHT,2.947520114155000037e-01,1.592044356840496278e-01,8.311618923604509046e-01,-1.801252971724903507e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.016816607364151429e-02,-8.528178548982155993e-01
5.465545654296875000e-01,FLIGHT,2.982274366364999763e-01,1.636026462223494349e-01,8.321047138041769431e-01,-1.806965514680961338e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.310065408695136879e-02,-5.664239039548861765e-01
5.542476177215576172e-01,FLIGHT,3.021702466286000366e-01,1.684862178691002299e-01,8.321206303528794201e-01,-1.810528761801649456e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.515794668075039382e-02,-3.658218826126425349e-01
5.619406700134277344e-01,FLIGHT,3.057415456488000172e-01,1.732199867046002595e-01,8.323283881268246365e-01,-1.812901638332909959e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.811082081479163941e-02,-2.081157792575631937e-01
