time,phase,pitch_pos,yaw_pos,Hip,Knee,pitch_vel,yaw_vel,Hip_vel,Knee_vel
0.000000000000000000e+00,STAGING,-0.000000000000000000e+00,-0.000000000000000000e+00,1.431731380993138902e+00,-2.110102364084644577e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.264465654054511723e-01,-7.354705716671338100e-01
7.731199264526367188e-03,STAGING,-9.707222169000329082e-04,-3.055977349504246376e-04,1.437915241044302794e+00,-2.116358129485240713e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.304554318163709592e+00,-1.127842334223130294e+00
1.544046401977539062e-02,STAGING,-1.462075437800025579e-03,-5.512743453994772835e-04,1.445345460485623956e+00,-2.125697960263824626e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.311065830008418143e-01,-1.285548648238413083e+00
2.313303947448730469e-02,STAGING,-2.432797654700002976e-03,-6.111954698990729185e-04,1.448924717781771454e+00,-2.133455686101387805e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.993505827005153663e-01,-1.083684959531231007e+00
3.082561492919921875e-02,STAGING,-3.643204369600028247e-03,-5.452822329488071773e-04,1.451848868658678349e+00,-2.142132264932865571e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.283110967534469848e-01,-8.969604365624974651e-01
3.856706619262695312e-02,STAGING,-4.805674184900021739e-03,-1.042627566299358932e-03,1.460653341640318459e+00,-2.148571726030839457e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.145586570850380959e+00,-6.458928909571758359e-01
4.629683494567871094e-02,STAGING,-5.548696128700014718e-03,-1.486043887599208801e-03,1.466182001645484956e+00,-2.153613152392197527e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.911205345744717121e-01,-6.660791474757855601e-01
5.398941040039062500e-02,STAGING,-6.327670747200031531e-03,-1.527988674750346831e-03,1.467524234834884922e+00,-2.159653201744497153e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.436553070312813301e-06,-8.338784727169268329e-01
6.168270111083984375e-02,STAGING,-6.890929317500016360e-03,-1.587909799249942466e-03,1.470512332786872767e+00,-2.165869082146580027e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.812997216795093625e-01,-8.616348738653033523e-01
6.941032409667968750e-02,STAGING,-7.717840835600009441e-03,-2.025334008099122229e-03,1.477479193407439162e+00,-2.172436437394715369e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.847553220833843879e-01,-7.215915752655104320e-01
7.710289955139160156e-02,STAGING,-8.161257156900025844e-03,-2.277002730998844982e-03,1.479156984894189009e+00,-2.176814611808967737e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.038267446619805273e-02,-5.247743219511896706e-01
8.479571342468261719e-02,STAGING,-8.436894329599986531e-03,-2.318947518149983011e-03,1.478326047425165157e+00,-2.181280795374868742e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.047591098144078164e-02,-3.960860764492220021e-01
9.248828887939453125e-02,STAGING,-9.000152899900026870e-03,-2.606568915750173687e-03,1.480946566728884140e+00,-2.184116937100126776e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.207409521236801897e-01,-2.989390937503109136e-01
1.001811027526855469e-01,STAGING,-8.916263325600026768e-03,-2.978079887649087709e-03,1.482400683892986404e+00,-2.185643053240418521e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.290602382525591368e-02,-1.336630681290128242e-01
1.078875064849853516e-01,STAGING,-8.700547277399994783e-03,-3.211772273200352856e-03,1.479380659216836591e+00,-2.186354054833631544e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.333376832738090156e-01,-8.950537744680824026e-02
1.155800819396972656e-01,STAGING,-8.928247550499979202e-03,-3.505385783249437281e-03,1.476871930261062893e+00,-2.187025171428331305e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.008300852349153579e-02,-7.184225670121680007e-02
1.232726573944091797e-01,STAGING,-8.856342201099987044e-03,-3.858920417799893698e-03,1.476760139913117609e+00,-2.187720256472842184e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.497962112777153132e-01,-4.787089275768974944e-02
1.309657096862792969e-01,STAGING,-8.101336032399986120e-03,-4.188486602549446047e-03,1.473788052136589144e+00,-2.187368781626789715e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.718464139770892074e-01,1.022652883311707950e-01
1.386582851409912109e-01,STAGING,-7.861651534399993757e-03,-4.458131662799402761e-03,1.470783944009141919e+00,-2.186721633481900628e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.112870358473389998e-01,9.469541873000288101e-02
1.463510990142822266e-01,STAGING,-7.681888160899985607e-03,-4.751745172850263543e-03,1.468866468024284666e+00,-2.186801403478926709e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.775522613257528359e-01,-6.174900555679327385e-02
1.540436744689941406e-01,STAGING,-7.681888160899985607e-03,-4.979445445949082227e-03,1.466118148197161020e+00,-2.186665644681170750e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.254949658061176421e-01,6.441581158854023381e-02
1.617362499237060547e-01,STAGING,-7.346329863699985196e-03,-5.213137831500347374e-03,1.463545472166306372e+00,-2.186306117934010196e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.938964060162596814e-01,5.684591858068304554e-02
1.694288253784179688e-01,STAGING,-7.502124787400032968e-03,-5.500759229098761693e-03,1.460685268364480427e+00,-2.186122422236632445e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.658675256567156531e-01,-3.273113600033696752e-02
1.771214008331298828e-01,STAGING,-7.334345638800032763e-03,-5.770404289348718407e-03,1.459486845873944727e+00,-2.186434012084172096e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.522246611409711264e-02,-7.562721783432618805e-02
1.848306655883789062e-01,STAGING,-7.633951261300009339e-03,-6.004096674899983554e-03,1.458719855480001826e+00,-2.186633624330251990e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.229714438227264117e-01,-6.301079580685046977e-02
1.925232410430908203e-01,STAGING,-7.526093237199993347e-03,-6.183860048398770459e-03,1.457425559190223430e+00,-2.186569770881928054e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.438173814740649481e-01,2.025799655829891438e-02
2.002158164978027344e-01,STAGING,-7.538077462100001291e-03,-6.339654972100206010e-03,1.456370947398551996e+00,-2.186601791232846814e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.073506652815527762e-02,1.773472765973541088e-02
2.079083919525146484e-01,STAGING,-7.490140562500025023e-03,-6.441520883749163318e-03,1.455460146305744829e+00,-2.186865444180764673e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.568851410184747330e-02,-3.903944356666805282e-02
2.156009674072265625e-01,STAGING,-7.645935486200017284e-03,-6.549378907848790732e-03,1.454868893334828384e+00,-2.187168982127195793e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.512946073991090420e-02,-8.193545518058946431e-02
2.233197689056396484e-01,STAGING,-7.454187887800001189e-03,-6.603307919899492617e-03,1.454852976786125796e+00,-2.187041087977033893e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.412943276244590929e-01,7.450895155118973656e-02
2.310516834259033203e-01,STAGING,-7.621967036400001394e-03,-6.597315807448822511e-03,1.454757102986883099e+00,-2.187160930226087263e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.064214307738150844e-02,-1.122150155086735768e-01
2.387442588806152344e-01,STAGING,-7.502124787400032968e-03,-6.561363132750130944e-03,1.455044724384611632e+00,-2.187336761275870956e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.387915088577256761e-01,-5.544086768895938044e-02
2.464406490325927734e-01,STAGING,-7.597998586599985504e-03,-6.483465670900301348e-03,1.454916830234449732e+00,-2.187065056426844567e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.015813741291133965e-05,1.224516267731929620e-01
2.541332244873046875e-01,STAGING,-7.538077462100001291e-03,-6.369615534350003827e-03,1.455076651108773600e+00,-2.186809455380035239e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.279271022229331839e-02,1.016483904063246284e-02
2.618257999420166016e-01,STAGING,-7.669903936000033173e-03,-6.249773285349036200e-03,1.455619967180068697e+00,-2.186905329179277935e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.823231798148964911e-02,6.063075097700145605e-02
2.695379257202148438e-01,STAGING,-7.586014361700033071e-03,-6.093978361649377007e-03,1.456067315825363861e+00,-2.187057191779250509e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.075558834297123789e-02,7.641609640857099754e-03
2.772309780120849609e-01,STAGING,-7.873635759300001702e-03,-6.022073012250217516e-03,1.456466821197794914e+00,-2.186969182627601871e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.776634021380709055e-02,-3.525448243355867178e-02
2.849237918853759766e-01,STAGING,-7.621967036400001394e-03,-5.866278088548781966e-03,1.457281748491359163e+00,-2.187001202978520631e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.832548135082841922e-02,-1.885304368208655726e-02
2.926163673400878906e-01,STAGING,-7.789746185000001599e-03,-5.776396401799388514e-03,1.459247161375837543e+00,-2.186809455380035239e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.927124930845430573e-01,1.521145729825382903e-02
3.003091812133789062e-01,STAGING,-7.741809285400025331e-03,-5.650562040349527138e-03,1.459103350676973276e+00,-2.186761518480413446e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.715741688328144277e-01,-3.713218167584044632e-03
3.080132007598876953e-01,STAGING,-7.885619984200009647e-03,-5.488775004199197838e-03,1.459694603647889943e+00,-2.186793538831332651e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.211282593753432585e-01,2.151977656792955149e-02
3.157062530517578125e-01,STAGING,-7.765777735199985710e-03,-5.392901204999134279e-03,1.460541457665616161e+00,-2.186817507281143325e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.321533724283748323e-01,-4.408591992123573472e-02
3.233988285064697266e-01,STAGING,-7.801730409900009544e-03,-5.356948530300442712e-03,1.461851764130854159e+00,-2.186809455380035239e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.615010532928339293e-01,-3.525438880680159537e-02
3.310914039611816406e-01,STAGING,-7.597998586599985504e-03,-5.291035293350176971e-03,1.462858439022904022e+00,-2.186777435029116035e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.542929711257365222e-02,7.175613178805417911e-05
3.387842178344726562e-01,STAGING,-7.909588434000025536e-03,-5.195161494150113413e-03,1.463305787668199409e+00,-2.186873308828358731e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.261747649882725142e-01,-9.455187135639286922e-02
3.465504646301269531e-01,STAGING,-7.921572658900033481e-03,-5.111271919849613710e-03,1.463657356141008892e+00,-2.186809455380035239e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.533599622893543457e-02,-3.713186714845340738e-03
3.542463779449462891e-01,STAGING,-8.029430682999993962e-03,-4.997421783299316189e-03,1.463833093564034904e+00,-2.186569770881928054e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.009221071708554934e-01,4.549108492056957997e-02
3.619389533996582031e-01,STAGING,-7.981493783400017694e-03,-4.937500658799720554e-03,1.463897040639115854e+00,-2.186513782081198176e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.017656176049842723e-02,6.063082119706925815e-02
3.696317672729492188e-01,STAGING,-7.897604209100017592e-03,-4.943492771250390660e-03,1.464504210158734887e+00,-2.186649728132468162e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.811917700286040933e-02,-1.189952469153840106e-03
3.773581981658935547e-01,STAGING,-8.029430682999993962e-03,-4.925516433900156699e-03,1.465447031602461037e+00,-2.186625759682657488e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.564542785029780780e-01,7.641568679150880124e-03
3.850507736206054688e-01,STAGING,-7.873635759300001702e-03,-4.895555871650358881e-03,1.465974337498296753e+00,-2.186657592780062664e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.236513951483615426e-01,-2.516131028671142814e-02
3.927438259124755859e-01,STAGING,-8.209194056500002112e-03,-4.865595309398784707e-03,1.465718642824730189e+00,-2.186545802432117380e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.185852162131022930e-01,5.558419269902133836e-02
4.004364013671875000e-01,STAGING,-7.825698859700025434e-03,-4.853611084499220851e-03,1.465894380247756423e+00,-2.186521833982306706e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.261746713615154447e-01,9.469527243819494955e-02
4.081289768218994141e-01,STAGING,-8.113320257299994065e-03,-4.853611084499220851e-03,1.466757244440942021e+00,-2.186657592780062664e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.498162474037289582e-01,-4.974996714296604262e-03
4.158434867858886719e-01,STAGING,-8.317052080600018105e-03,-4.817658409798752928e-03,1.466677380817158705e+00,-2.186745601931711303e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.793268934319415420e-02,-7.498270001614344531e-03
4.235360622406005859e-01,STAGING,-8.233162506300018002e-03,-4.787697847548955110e-03,1.466661370641699103e+00,-2.186777435029116035e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.533611033654562167e-02,1.521144852074535203e-02
