time,phase,pitch_pos,yaw_pos,Hip,Knee,pitch_vel,yaw_vel,Hip_vel,Knee_vel
0.000000000000000000e+00,STAGING,-0.000000000000000000e+00,-0.000000000000000000e+00,1.431395822695789022e+00,-2.111668365223449140e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.138313429708004310e-01,-6.307466563985680841e-01
7.692575454711914062e-03,STAGING,-4.913532208999926709e-04,-1.078580241000715034e-04,1.437435872048088648e+00,-2.117468730077642025e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.231379389905658872e+00,-9.474202027800154857e-01
1.539707183837890625e-02,STAGING,-1.953428658700018250e-03,-5.332980080501315001e-04,1.446112450879566858e+00,-2.127455521747600997e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.049419999224008970e-01,-1.227506144592301895e+00
2.308964729309082031e-02,STAGING,-2.684466377600003284e-03,-6.291718072501950587e-04,1.449883455774199970e+00,-2.135780625733026739e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.087839713103682548e-01,-1.173255056473865965e+00
3.078269958496093750e-02,STAGING,-3.751062393699988728e-03,-7.130613815502506725e-04,1.455108577832935346e+00,-2.144225571967506294e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.024181970587385138e-01,-9.448961190360818385e-01
3.847527503967285156e-02,STAGING,-5.057342907800022047e-03,-1.048619678750029038e-03,1.462714628324039756e+00,-2.150529274267723778e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.067364130491762486e+00,-7.468174792370937398e-01
4.616808891296386719e-02,STAGING,-6.123938923900007492e-03,-1.282312064300406007e-03,1.468099477630341987e+00,-2.156201744971754319e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.289698533219497012e-01,-7.266311759051055086e-01
5.386066436767578125e-02,STAGING,-7.214503389800008826e-03,-1.336241076350219714e-03,1.468914404923906236e+00,-2.161802310326352838e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.075477496051916559e-02,-8.099000048432068999e-01
6.155347824096679688e-02,STAGING,-7.633951261300009339e-03,-1.510012337400112870e-03,1.472222050997784581e+00,-2.167938233477895604e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.352207059063267991e-01,-8.818146233242964982e-01
6.924629211425781250e-02,STAGING,-7.957525333600001805e-03,-1.959420771150188756e-03,1.480307470485103138e+00,-2.173978282830195230e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.538153784218934561e-01,-7.026602449853299737e-01
