time,phase,pitch_pos,yaw_pos,Hip,Knee,pitch_vel,yaw_vel,Hip_vel,Knee_vel
0.000000000000000000e+00,STAGING,-0.000000000000000000e+00,-0.000000000000000000e+00,1.431156138197681837e+00,-2.109551089738998186e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.551230139360275873e-01,-7.379728871900479437e-01
7.692813873291015625e-03,STAGING,-8.868326426000328055e-04,-2.696450602499567140e-04,1.437020450126955229e+00,-2.119937480408145447e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.105201792707984909e+00,-1.676638566863321911e+00
1.687884330749511719e-02,STAGING,-1.869539084400018147e-03,-5.153216706998975383e-04,1.446096440704107255e+00,-2.141940517334380178e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.437108042915364203e-01,-3.464392994513968649e+00
2.460312843322753906e-02,STAGING,-3.187803823400003900e-03,-7.010771566497986385e-04,1.454022039317102166e+00,-2.171597541651340446e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.739904465430329061e-01,-2.737682516745622241e+00
3.287959098815917969e-02,STAGING,-4.434163212999997494e-03,-9.048089799499337005e-04,1.459055413777351928e+00,-2.183349946706183875e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.296178194066997302e-01,-1.301924810691311718e+00
4.060316085815429688e-02,STAGING,-6.711165944000008210e-03,-1.030643341399795077e-03,1.455492073029906797e+00,-2.184915947844988882e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.620379598140605282e-01,3.394796434097873128e-01
4.829621315002441406e-02,STAGING,-8.341020530400033994e-03,-5.452822329496953557e-04,1.455540009929528367e+00,-2.179387287839822385e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.072399096606882596e+00,9.715654199080826503e-01
5.598902702331542969e-02,STAGING,-1.027048073930003635e-02,-1.929460208899946849e-03,1.468371182479368153e+00,-2.175128768421109360e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.791540319199654396e+00,6.191628146164899343e-02
6.371307373046875000e-02,STAGING,-1.018659116500003625e-02,-2.654505815349761377e-03,1.478981153844405760e+00,-2.179339350940201037e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.512815574952241393e-01,-1.091230808017537246e+00
7.140588760375976562e-02,STAGING,-1.120525028150004543e-02,-2.282994843449959177e-03,1.478757479521758178e+00,-2.192457957634255106e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.510123552205543396e-01,-1.878500663915633861e+00
