X,Y,Z,x_park
-2.657715255545423094e-04,-1.118888509610589388e+00,5.352685930853917640e-05,-2.721913097121970472e-04
-7.357338254744133499e-04,-1.118712604544327194e+00,-1.383044193602467331e-04,-7.536240638738350879e-04
-9.394552366131375676e-04,-1.118829738907404669e+00,5.406220873880596134e-04,-9.621983681206566167e-04
-6.298435907683974655e-04,-1.118621024873815539e+00,3.257688370209288475e-04,-6.452118257812916808e-04
-2.996873979699277157e-06,-1.118309429648564501e+00,-1.136770693443006630e-04,-3.070853669237013445e-06
-9.771144031121697937e-04,-1.118115445190707824e+00,-3.502476255429765040e-04,-1.001408528769701274e-03
-1.620765487576752983e-03,-1.118005592271149151e+00,-4.271703344975730232e-04,-1.661225267685008822e-03
-1.191694251845606956e-03,-1.117802492278350934e+00,-7.006927178868221917e-04,-1.221665288890680292e-03
-9.599845838926951425e-04,-1.117736115902661087e+00,-6.217663105795578904e-04,-9.841867100435588468e-04
-1.597685788984920530e-03,-1.117651175434495991e+00,-5.777398967292818321e-04,-1.638088741016226028e-03
-1.615908009849537086e-03,-1.117574743846131202e+00,-5.979691679550563910e-04,-1.656885054625604255e-03
-1.086496065710221282e-03,-1.117517951233217843e+00,-5.650165714657928717e-04,-1.114105045732768917e-03
-1.428041707494637214e-03,-1.117382086331494939e+00,-7.980262918855646204e-04,-1.464507427885224956e-03
-1.849610100578949479e-03,-1.117479873903953536e+00,-4.891169484484286789e-04,-1.896674082603755536e-03
-1.669458640905202573e-03,-1.117520220384101703e+00,-3.567866069411756991e-04,-1.711877088107444187e-03
-1.631858707240085860e-03,-1.117376579863134545e+00,-6.926481704363635084e-04,-1.673536959658856278e-03
-1.937300133061287122e-03,-1.117418461375901506e+00,-5.575767329188408006e-04,-1.986704424478983808e-03
-1.971244990169207512e-03,-1.117677483834773389e+00,8.861580626470799693e-05,-2.021046372460387919e-03
-1.977294050337460862e-03,-1.117703946265768744e+00,1.326635417600446898e-04,-2.027200246265539480e-03
-2.063343051258131888e-03,-1.117742080201690635e+00,2.347171636585820842e-04,-2.115348725479415659e-03
-2.002984393133802610e-03,-1.117679369743167284e+00,7.195163395973258602e-05,-2.053584103047958846e-03
-1.986024296038016446e-03,-1.117763738516664773e+00,2.741289372346494835e-04,-2.036041902384599922e-03
-1.986686004651988524e-03,-1.117629703988366696e+00,-7.134933619831751450e-05,-2.036964532804708388e-03
-2.107119795336148682e-03,-1.117683436848556644e+00,7.905576196841346270e-05,-2.160342082379479098e-03
-2.261589534673910662e-03,-1.117538864338731619e+00,-2.787631978999893789e-04,-2.319013012743916576e-03
-2.310983018468132366e-03,-1.117557095706323889e+00,-2.336921156947391331e-04,-2.369621834247897900e-03
-2.354891529340735756e-03,-1.117529751652122760e+00,-3.007197905688097084e-04,-2.414703428435582399e-03
-2.330128509930806668e-03,-1.117536614311477106e+00,-2.722365149085137492e-04,-2.389296854549837097e-03
-2.350843323458778888e-03,-1.117461467286500865e+00,-4.503014140801869791e-04,-2.410699714845101170e-03
-2.418426879299731547e-03,-1.117542756549521066e+00,-2.487023761976597802e-04,-2.479823454193611464e-03
-2.391254676212636876e-03,-1.117469376324888186e+00,-4.302460727796247886e-04,-2.452122527299544896e-03
-2.364614363902159400e-03,-1.117531765882776806e+00,-2.653359223084711394e-04,-2.424668813414287798e-03
-2.292846896442282678e-03,-1.117481626418617591e+00,-4.036161556016243379e-04,-2.351184355597678993e-03
-2.210476043985915018e-03,-1.117506477655219044e+00,-3.512350223633525781e-04,-2.266667538622589659e-03
-2.134872194636636134e-03,-1.117462161187150027e+00,-4.607077433654571674e-04,-2.189228807645587655e-03
-1.996818724106910747e-03,-1.117511894112432014e+00,-3.295119679476432584e-04,-2.047569501222779812e-03
-1.980284209734381462e-03,-1.117392213711489557e+00,-6.370162884177382745e-04,-2.030832276690126750e-03
-1.895345040932278069e-03,-1.117521167188019637e+00,-3.096495358217155047e-04,-1.943500859406115631e-03
