X,Y,Z,x_park
-2.605785421912476529e-04,-1.118914125530948933e+00,1.481519254428326215e-04,-2.668667789359172753e-04
-8.445230877186793439e-04,-1.118694523401226437e+00,-1.217519226084512463e-04,-8.650726078190300664e-04
-8.296800536342213706e-04,-1.118686795485007490e+00,2.418044762004384340e-04,-8.498742792944155317e-04
-3.774134707089510377e-04,-1.118523745742392217e+00,2.203702689774211798e-04,-3.866560413162255390e-04
-5.363023693627649857e-04,-1.118163885787612166e+00,-4.401265943391602375e-04,-5.496128133215183106e-04
-1.110260908561921944e-03,-1.118112907721332761e+00,-3.264603460787635081e-04,-1.137867971508579618e-03
-1.338834906373931322e-03,-1.117937839556814028e+00,-5.605348005778554299e-04,-1.372340218082266760e-03
-1.090064499310053336e-03,-1.117653426978942210e+00,-1.052319185772615517e-03,-1.117628665493594110e-03
-1.582214723762243036e-03,-1.117696506354611596e+00,-7.031617654906646697e-04,-1.622160664987641653e-03
-1.988703974865640989e-03,-1.117842891330710797e+00,-1.160259852094752686e-04,-2.038644699213541713e-03
-1.567420015314263670e-03,-1.117621506611341520e+00,-5.216367745886213436e-04,-1.607100296309987592e-03
-1.289188698240198439e-03,-1.117496268191132902e+00,-6.788495522654786063e-04,-1.321973786204366742e-03
-1.951188126151998103e-03,-1.117467798173374049e+00,-6.141334536070991446e-04,-2.000858212367317198e-03
-1.894256462763213578e-03,-1.117292932929447202e+00,-9.915210825262033012e-04,-1.942781403964250050e-03
-1.639961355912891716e-03,-1.117285454724673111e+00,-9.947370170152597391e-04,-1.681983711168604434e-03
-2.205360232824568611e-03,-1.117408837231371743e+00,-6.531493833775020574e-04,-2.261619299438443094e-03
-2.469369342219848718e-03,-1.117467789188910210e+00,-4.702372723033448887e-04,-2.532228891785981081e-03
-2.122662535611191670e-03,-1.117588076450546142e+00,-1.578419772439026980e-04,-2.176463062539836166e-03
-1.734775146487607667e-03,-1.117545057044638579e+00,-2.756079128104077514e-04,-1.778813549129025636e-03
-2.247249172017309893e-03,-1.117528863533037153e+00,-3.208569948092016011e-04,-2.304329198425227997e-03
-2.477470995960184830e-03,-1.117638491594755035e+00,-5.887378377418539532e-05,-2.540148724333061731e-03
-2.135705057302109133e-03,-1.117380267633395041e+00,-7.382339349174121823e-04,-2.190243386255251012e-03
-2.046249158586491146e-03,-1.117500058889275838e+00,-4.233942992480782541e-04,-2.098278360766374535e-03
-2.413719911903366988e-03,-1.117448683615639871e+00,-5.463383548285488667e-04,-2.475205364214440144e-03
-2.511686487081665753e-03,-1.117317580479148642e+00,-9.007555110605997006e-04,-2.575969362305441726e-03
-2.400954974397837005e-03,-1.117383881216865049e+00,-7.362003303351960515e-04,-2.462258091125816683e-03
-2.515609208763244786e-03,-1.117358339169570502e+00,-7.621674314186865917e-04,-2.579898354683460293e-03
-2.699621969253371279e-03,-1.117561550838608975e+00,-2.132624637918856259e-04,-2.768109624780869769e-03
-2.761634326163900366e-03,-1.117553414318090743e+00,-2.352103105736358390e-04,-2.831715555461008192e-03
-2.855725468886335938e-03,-1.117431488110937288e+00,-5.399122678712980905e-04,-2.928513512374556187e-03
-2.947282250573918239e-03,-1.117461812386607134e+00,-4.567401850089775062e-04,-3.022321488912503486e-03
-3.024365041268753385e-03,-1.117180259826250355e+00,-1.172772657025186738e-03,-3.102148068592307066e-03
-2.860709892627807949e-03,-1.117315353203274242e+00,-8.239044075582790949e-04,-2.933929881750309970e-03
-2.778594029834602352e-03,-1.117382984868307227e+00,-6.475290097694014202e-04,-2.849540128976152040e-03
-2.786340717737770256e-03,-1.117268622456373484e+00,-9.398367635510967988e-04,-2.857777068721666092e-03
-2.558357286266160768e-03,-1.117254354848422837e+00,-9.858326879497031348e-04,-2.623982948077526172e-03
-2.526407315449008539e-03,-1.117397290653806774e+00,-6.344402587315223219e-04,-2.590882062433951753e-03
-2.392360504147011957e-03,-1.117370385752116002e+00,-7.165959844096791986e-04,-2.453473839232919122e-03
-2.246707000662234721e-03,-1.117447674404863145e+00,-5.270830515075458633e-04,-2.303940639630022540e-03
-2.118208281661926318e-03,-1.117492021240540367e+00,-4.185106016702522247e-04,-2.172082610188351762e-03
-2.116155429971497415e-03,-1.117410256731411033e+00,-6.294489484375831445e-04,-2.170136335348388842e-03
-2.127934114926843812e-03,-1.117414724932728420e+00,-6.233889225123745437e-04,-2.182206727085406108e-03
-2.141554269815132416e-03,-1.117404379378026835e+00,-6.505387903281978357e-04,-2.196194561066146071e-03
-2.640448183608923305e-03,-1.117278734839604937e+00,-1.083691301153558162e-03,-2.708120195547486682e-03
-4.616867837245269834e-03,-1.117168631882143215e+00,-1.958841240357389601e-03,-4.735642018136093298e-03
-6.837235417587919639e-03,-1.116838968899985352e+00,-3.607172620666163065e-03,-7.015153482417526599e-03
-8.091155953226680797e-03,-1.116843851673829491e+00,-4.206744078480803561e-03,-8.301625631056566354e-03
-8.757435660368906305e-03,-1.116803804200381611e+00,-4.844321059763595505e-03,-8.985532047800580402e-03
-7.546030451010987683e-03,-1.117394225569316335e+00,-3.868782237154769210e-03,-7.738524407961880520e-03
