X,Y,Z,x_park
-2.524447219384162722e-04,-1.118865741060799834e+00,-2.685948176793517828e-05,-2.585478552283152257e-04
-1.857039123836778938e-04,-1.118790005406751220e+00,2.072568914764649772e-04,-1.902063885003558291e-04
7.715520529759656299e-04,-1.118952333368822938e+00,1.521195047933174282e-03,7.901439227714988477e-04
2.745506629105651242e-03,-1.119093395809770408e+00,3.090075086686336348e-03,2.811304712612182084e-03
3.127144419952349041e-03,-1.118881582187115420e+00,3.018471996170862814e-03,3.202693001987522072e-03
3.526257788597192411e-03,-1.117837845292182442e+00,4.236374723365909922e-04,3.614818006836699286e-03
3.437254417968327314e-03,-1.117013227843626222e+00,-1.887472130264980508e-03,3.526181154245413511e-03
-1.626992746105310195e-04,-1.116367886550380328e+00,-3.707857339213013748e-03,-1.670055509717098432e-04
-1.791522543724749506e-03,-1.116724219022479536e+00,-2.648244704081342826e-03,-1.838351687016004854e-03
3.752250799436696038e-05,-1.116519966286137366e+00,-2.649203821336071352e-03,3.851039674937243250e-05
1.696086005915822814e-03,-1.116760400836099398e+00,-1.533777305638348021e-03,1.740364272221144168e-03
-1.984527181797535178e-04,-1.116891897969710445e+00,-8.989701911561037706e-04,-2.036097331462071499e-04
-1.124334810005692131e-03,-1.116392805600842975e+00,-2.147777299290512532e-03,-1.154067229204184001e-03
-1.063787071743926838e-04,-1.115948429732169567e+00,-3.297902141586706026e-03,-1.092353512097623294e-04
-1.094408112749939432e-04,-1.115820964925078318e+00,-3.553312071894965118e-03,-1.123925211937347132e-04
-8.420185420369569185e-04,-1.116448237430927470e+00,-1.896720546892785575e-03,-8.642424783485531340e-04
-4.024023959046385546e-04,-1.116772556127838545e+00,-1.081630355133644805e-03,-4.129033763760557563e-04
1.144699326624670777e-04,-1.116951015729795715e+00,-6.644289406079056937e-04,1.174383461294211956e-04
-4.330324381289635260e-04,-1.117125144990913643e+00,-2.200904313485463337e-04,-4.441924875761759858e-04
-1.085061718926361163e-03,-1.117036129696710178e+00,-4.688742266663187275e-04,-1.113114174182039786e-03
-3.346092246347964760e-04,-1.116663527078752605e+00,-1.475014534882773676e-03,-3.433746212533652893e-04
2.825144541597768288e-04,-1.116541117571052455e+00,-1.912626904296541031e-03,2.899469670148759623e-04
-5.437446756281355542e-04,-1.116876429485492039e+00,-1.159322000441276312e-03,-5.578821750081755905e-04
-1.226643785819062082e-03,-1.117273048153418546e+00,-1.811064325256683816e-04,-1.258089663422704571e-03
-1.185672779763308204e-03,-1.117373716039576914e+00,9.873472234540880965e-05,-1.215958809326590177e-03
-7.659034093159683421e-04,-1.117313943784721708e+00,-5.998035467852380620e-05,-7.855093233047812660e-04
-2.464362934914698933e-05,-1.116944402387031854e+00,-1.034735683750190316e-03,-2.528283324298308135e-05
3.123321038706050601e-04,-1.116743203438214760e+00,-1.582383377223897658e-03,3.204910643115016044e-04
-2.009994885244642537e-04,-1.116660362650993665e+00,-1.795673064354880166e-03,-2.062654435950690343e-04
-3.581893670067809454e-04,-1.116860801072246057e+00,-1.252496128962346522e-03,-3.675075402883335937e-04
-3.276844554196689518e-04,-1.116953308429876834e+00,-9.750013938364943122e-04,-3.361812105707768649e-04
-4.856657993801277717e-04,-1.117010886821278026e+00,-8.122894189161733447e-04,-4.982332604482116612e-04
-6.696405703558033773e-04,-1.116963610898870973e+00,-9.372439508113505902e-04,-6.869977410368785162e-04
-6.238600322803072862e-04,-1.116763384619888333e+00,-1.446100525195337383e-03,-6.401453276596681197e-04
-2.286181806648301951e-04,-1.116686044630271324e+00,-1.621514852506139581e-03,-2.346023173126068147e-04
6.930739009855524380e-05,-1.116645393267689856e+00,-1.686514277503825543e-03,7.112411801555267163e-05
-4.089988418949780380e-04,-1.116769830368513849e+00,-1.343861060291454135e-03,-4.196729850927290715e-04
-6.728431976620735666e-04,-1.116874830599523527e+00,-1.082597891147216163e-03,-6.903382506291173707e-04
